Recipe Name,Recipe ID,Preparation Time (min),nutrition,Number of Steps,Steps,Description,Products,Number of Products,Taste Rating,Shelf Time
middle eastern feta spread,471228,250,"[84.7, 11.0, 3.0, 11.0, 5.0, 17.0, 0.0]",7,"['place feta cheese on a plate and mash very well with a fork', 'add all other ingrdients and mix very well', 'place bay leaf into center of dip', 'cover and chill at least 4 hours before serving', 'when ready to serve , stir', 'remove the bay leave and stir more', 'serve']",serve on pita crisps.  cooking time is the chilling time.,"['feta cheese', 'walnuts', 'garlic cloves', 'red pepper paste', 'extra virgin olive oil', 'fresh oregano', 'of fresh mint', 'salt', 'pepper', 'bay leaf']",10,7,21
autumn romance vegetable stew provencale,330886,335,"[270.7, 25.0, 34.0, 31.0, 14.0, 24.0, 7.0]",5,"['sprinkle eggplant with salt and allow to drain in colander for 30 minutes', 'thoroughly rinse before adding to other vegetables', 'sear all veggies first in a large pan on top of stove over high heat until they wilt', 'place veggies in large crock pot with other ingredients and cover , cooking on low for 5-6 hours or until vegetables are tender', 'serve with crusty bread and wine , if desired']","as i was walking through the farmer's market, the bounty of the harvest season was laid out before me, a blanket of autumn beauty. the colors, the scents, all spoke to me of the romance of cooking that has made me enjoy it so much these many years. i bought one beautiful vegetable after another, sensing the melange which would take their simple shapes to the sublime. come make this wonderful vegetable stew as well, so you may also rediscover the romance of cooking that has made you the foodie you are. note that this requires a large crock pot. if you have a smaller one, you may reduce the ingredient amounts accordingly. omit the bacon if you like a truly vegetarian dish (but realize that in doing so it diminishes the flavor).","['celery ribs', 'bay leaves', 'leek', 'red onion', 'parsnips', 'green beans', 'red bell pepper', 'yellow bell pepper', 'sugar snap peas', 'garlic cloves', 'cauliflower florets', 'bacon', 'baby eggplants', 'cremini mushrooms', 'baby carrots', 'purple potatoes', 'fingerling potato', 'grape tomatoes', 'sun-dried tomatoes', 'italian parsley', 'kosher salt', 'fresh ground black pepper', 'herbes de provence', 'dry white wine', 'tomato juice', 'olive oil']",26,2,9
chicken and black bean burritos,141894,45,"[397.0, 36.0, 9.0, 22.0, 59.0, 57.0, 5.0]",14,"['in skillet , heat oil over medium-high heat', 'fry onion , garlic , salt , and pepper until softened , about 3 minute', 'add chicken , jalapeno , red pepper , beans and salsa', 'cook , stirring , until chicken is no longer pink inside , about 10 minute', 'let cool', 'spoon about 3 / 4 cup of the filling down centre of each tortilla', 'sprinkle each with 1 / 4 cup of the cheese', 'fold in bottom edge , then sides', 'roll up', 'place , seam down , in greased 13x9 inch glass backing dish , sprinkle remaining cheese over top', 'back in 400 degree oven until golden and hot , and cheese is melted , about 15 minute', 'serve with sour cream', 'if baking from frozen , loosely cover dish with foil , and bake in a 400 degree oven until golden and hot , about 25-30 minute', 'enjoy']","for days when there are not enough hours in the day.  these burritos make a great last minute supper.  you can also pack and freeze them all in one big dish or wrap them up seperately for individual portions for during the week.
great for a mexican style dinner!","['vegetable oil', 'onion', 'garlic cloves', 'salt', 'pepper', 'chicken breasts', 'jalapeno pepper', 'sweet red pepper', 'black beans', 'salsa', 'whole wheat tortillas', 'cheddar cheese', 'sour cream']",13,2,25
old fashioned meatballs   spaghetti,49290,155,"[367.5, 29.0, 16.0, 51.0, 45.0, 34.0, 7.0]",11,"['combine ingredients for gravy', 'set aside', 'in a food processor or blender , whirl bread to make crumbs', 'in a large bowl , mix together crumbs , ground beef , parmesan cheese , onion , parsley , salt , pepper , garlic , and eggs', 'form mixture into 1 1 / 2 inch balls', 'heat oil in a large frying pan and brown meatballs', 'drain on paper towels', 'add meatballs to gravy', 'add 1 / 4 cup parmesan cheese to gravy', 'bring to a boil , reduce heat , and simmer 1 1 / 2 to 2 hours', 'serve over cooked spaghetti']",this makes a very large sauce and is freezable. the longer you simmer the better the sauce tastes. you can also cook meatballs in a 400* oven for about 20 minutes.,"['french bread', 'ground beef', 'parmesan cheese', 'onion', 'parsley', 'salt', 'pepper', 'oregano leaves', 'dry basil leaves', 'garlic cloves', 'eggs', 'oil', 'cooked spaghetti', 'tomato sauce', 'mushroom', 'dry red wine', 'sugar', 'water']",18,9,14
caribbean martini,255446,5,"[371.1, 0.0, 54.0, 0.0, 0.0, 0.0, 6.0]",4,"['to a cocktail shaker filled with ice , add pineapple juice , coconut rum , vanilla vodka , and grenadine', 'shake vigorously', 'strain into a chilled martini glass', 'garnish with an orange wedge']",another tropical smooth drink.,"['pineapple juice', 'coconut rum', 'vanilla vodka', 'grenadine', 'orange wedge']",5,1,20
chili chicken pasta topper,18540,20,"[645.9, 33.0, 9.0, 30.0, 77.0, 30.0, 23.0]",5,"['in medium skillet over medium-high heat , heat oil', 'add chicken and cook until browned , stirring often', 'add soup , milk , cheese , chili powder and garlic powder and heat through , stirring often', 'serve over pasta', 'when through , be sure to wash your hands and all surfaces and utensils in contact with the raw chicken with hot water and anti-bacterial soap']",,"['vegetable oil', 'boneless chicken breast', ""campbell's cream of chicken soup"", 'milk', 'parmesan cheese', 'chili powder', 'garlic powder', 'corkscrew macaroni']",8,8,19
very modified  now don t go  eeewww    before you,196573,10,"[346.4, 29.0, 24.0, 59.0, 21.0, 17.0, 13.0]",16,"['grind your peppercorn with a pestle and mortar', ""don't make it very fine , just crush it a little"", ""trust me , once you start grinding your own pepper , you'll hate commercial black pepper"", 'mix the olive oil with your ground pepper', 'rub it all over your tomato slices', 'leave it in the fridge , preferably overnight', 'spread peanut butter on one side of your bread', 'the thicker , the better', 'heat a pan , then grease it with your olive oil', 'place your bread , peanut butter side up on the pan to toast it', 'after about a minute or so , turn over so peanut butter side is down', 'after about a minute , flip your bread onto a plate , peanut butter side up', 'place your tomatoes on your pan', ""cook both sides until they're a little browned"", 'place your cooked tomatoes on the peanut butter side of your bread', 'sprinkle a little salt , if desired']","i love ""gross"" recipes, because they always turn out amazing. so i couldn't wait to try out heatherfeather's recipe #2562555. it quickly became a breakfast staple for me, but i ended up modifying it so much i thought it would be better to include this recipe rather than post a horrendously long comment. still, thanks heatherfeather!","['peppercorn', 'tomatoes', 'olive oil', 'bread', 'peanut butter', 'salt']",6,7,25
perfect boiled shrimp,112889,15,"[167.3, 3.0, 0.0, 53.0, 61.0, 1.0, 0.0]",13,"[""only use for best taste wild caught shrimp no farm raised shrimp i don't care if you use cold , warm or hot water !"", 'start cooking shrimp', 'the water may never come to a boil', 'but constantly stir srhrimp', ""don't worry about the water boiling or time , it does not matter !"", 'when you see 1 or 2 shrimp float !', 'drain immediately and have an ice bath waiting , to shock the shrimp and stop cooking process', 'drain well and chill 1 hour before serving !', 'if eating hot serve right after cooking', 'if you follow this method you will only serve the best', 'i have been following my recipe for over 20 years and it is fool proof', 'i have never seen anyone use this recipe , but let me say that if you try this , you will never cook it any other way !', 'trust me !']",my own recipe,"['shrimp', 'cider vinegar', 'old bay seasoning', 'spices']",4,1,29
pork medallions with olive and caper sauce,193267,25,"[245.7, 14.0, 1.0, 25.0, 50.0, 10.0, 2.0]",13,"['cut the pork crosswise into 8 pieces', 'place each piece , one at a time , between two sheets of cling film and pound to inch thickness using a rolling pin or meat mallet', 'sprinkle both sides with salt , pepper and the garlic granules', 'dredge in flour , shaking off the excess', 'heat 1 tbs of the olive oil in a non-stick skillet over medium high heat', 'add half the pieces of pork and brown on each side', 'remove from the pan and keep warm', 'repeat with the other half of the meat and remaining olive oil', 'return all the meat to the pan', 'add the wine and broth and bring to a boil', 'stir in the olives and capers', 'cooking for 4 minutes longer', 'sprinkle with parsley and serve']",this delicious entrée belies the fact that it is low in fat and calories.  i love the rich flavour the olives and the capers give to the tender pieces of pork.,"['pork tenderloin', 'salt', 'ground black pepper', 'garlic granules', 'plain flour', 'olive oil', 'dry white wine', 'fat-free low-sodium chicken broth', 'kalamata olive', 'capers', 'flat leaf parsley']",11,1,3
grilled tri tip roast with tequila marinade,301644,30,"[137.8, 21.0, 2.0, 28.0, 3.0, 9.0, 1.0]",14,"['whisk first 10 ingredients in medium bowl', 'using small sharp knife , pierce meat all over', 'place meat in large resealable plastic bag', 'add marinade', 'seal bag', 'refrigerate at least 2 hours or overnight , turning plastic bag occasionally', 'prepare barbecue', 'remove meat from marinade', 'discard marinade', 'grill meat to desired doneness , about 10 minutes per side for medium-rare', 'transfer to cutting board', 'tent with foil', 'let stand 10 minutes', 'cut diagonally across grain']",bon appetite. june 2000. note marination time. make ahead!,"['fresh lime juice', 'fresh cilantro', 'olive oil', 'soy sauce', 'tequila', 'garlic cloves', 'lime zest', 'ground cumin', 'dried oregano', 'ground black pepper', 'tri-tip roast']",11,6,18
chipotle fish cakes with guacamole salsa,382679,85,"[355.0, 32.0, 10.0, 19.0, 50.0, 15.0, 5.0]",20,"['heat one tablespoon of oil in a large non-stick skillet over high heat', 'cook onion and bell pepper , stirring until onion is transparent , about 3 minutes', 'lower heat to medium , add garlic and water , stirring constantly so garlic does not brown , about 1 minute', 'in the work bowl of a food processor , process bread into fine breadcrumbs', 'there should be about one cup', 'in a medium mixing bowl , gently combine 3 / 4 cup of the bread crumbs with the salmon , sauteed vegetables , jalapeno , cilantro , mayonnaise and seasonings', 'adjust salt and pepper to taste', 'refrigerate mixture for 30 minutes', 'form mixture into 2 fish cakes , there should be about 12 patties of the same size and thickness', 'coat with reserved bread crumbs', 'refrigerate 1 hour', 'preheat oven to 400 degrees', 'in a large nonstick skillet over medium heat , heat remaining oil', 'brown fish cakes 2 to 3 minutes per side , remove to a baking pan', 'bake in preheated oven for 10 minutes until set', 'serve warm with avocado salsa', 'make avocado salsa: in the work bowl of a food processor , pulse 1 / 4 onion , handfull of cilantro and 1 / 2 jalapeno pepper until finely chopped', 'add 1 tablespoon mayonnaise , juice of half a lime juice , and 1 ripe chunked avocado', 'pulse briefly until mixture is the consistency of chunky guacamole', 'serve with any tex-mex recipe like chipotle fish cakes']","this chipotle fish cake recipe was ""planned over"" recipe when i needed to be frugal and quickly use-or loose- some delicious barbecue salmon (recipe on www.thekosherchannel.com/barbecue-salmon.html ). my challenge: adapting this exotic sounding recipe to my family's tastes while using only ingredients already in my kitchen. i came up with this winner. from the kosher channel.","['vegetable oil', 'onion', 'red bell pepper', 'garlic cloves', 'water', 'challah', 'salmon', 'pickled jalapeno peppers', 'cilantro', 'mayonnaise', 'dried chipotle powder', 'salt', 'pepper']",13,9,12
sweet potato and goats cheese mash,196467,35,"[286.8, 27.0, 20.0, 10.0, 19.0, 43.0, 7.0]",6,"['heat oven to 350f / 180c', 'place the potato , garlic and oil in a small oven proof dish and toss well', 'cover and roast for 25 minutes', 'squeeze the garlic into the potato and add the goats cheese', 'mash everything together well', 'add lemon juice and black pepper if desired']",for those following a low gi diet this is an ideal alternative to potato mash.,"['sweet potatoes', 'olive oil', 'garlic cloves', 'goat cheese', 'lemon juice', 'black pepper', 'fresh coriander']",7,5,22
royal hot chocolate,302677,15,"[262.8, 16.0, 144.0, 4.0, 12.0, 33.0, 12.0]",6,"['in top of double boiler over hot , not boiling , water melt chocolate', 'stir in sweetened condensed milk', 'gradually add water , stirring until well blended', 'stir in salt and vanilla', 'serve hot , topped with whipped cream , if desired', 'garnish with cinnamon']",from the hershey's cookbook.,"['unsweetened baking chocolate', 'sweetened condensed milk', 'boiling water', 'salt', 'vanilla extract', 'whipped cream', 'ground cinnamon']",7,8,3
egg salad  sandwich filling,286374,14,"[316.3, 20.0, 21.0, 20.0, 34.0, 19.0, 10.0]",10,"['gently place the eggs in a small pot of warm water and bring to a boil for about 13 minutes', 'drain , and submerge into ice-cold water to stop the cooking process', 'peel the eggs and remove the yolk from one of them', 'dice the remaining eggs or mash slightly with a fork', '(here i cheated and put them in the freezer for about 2 minutes so that it would cool down rapidly', 'add mayonnaise , mustard , salt and pepper to eggs', 'mash with a fork until desired texture - i like mine slightly chunky', 'on one slice of bread , spread about 1 / 3 of egg mixture', 'top with a leaf of lettuce , then a slice of tomato', 'continue until all filling is used up']","i'm on a sandwich making craze, and this is something good that came out of it.","['eggs', 'light mayonnaise', 'honey mustard', 'tomatoes', 'lettuce', 'salt and pepper', 'bread']",7,3,18
gluten free dreamy peanut butter  banana   oatmeal elvis bar,362093,40,"[242.1, 18.0, 79.0, 6.0, 10.0, 22.0, 10.0]",9,"['pre-heat the oven to 350 degrees', 'grease or spray an 8 x 8 inch baking pan and set aside', 'in a large mixing bowl combine the first 4 ingredients and cream together well', 'add in the vanilla , stir , then add in the peanut butter', 'stirring carefully so you dont spill , work in all of the peanut butter until in is completely incorporated', 'sprinkle the baking soda over the entire mixture , add in the oatmeal and chocolate chips and blend until well combined', 'pour into the 8 x 8 baking pan and bake for 30-35 minutes', 'top should be nice and brown and center will still be slightly wiggly / moist', 'allow to cool completely before cutting into them']","the generous amount of peanut butter makes these bars taste rich and creamy, the banana keeps it *ultra* moist and takes on a mellow background flavor, and the oatmeal holds it all together plus some chocolate thrown in for good measure :)  these are better the next day, don't contain eggs or flour, and are a good way to use up some ripe bananas!","['butter', 'brown sugar', 'white sugar', 'mashed bananas', 'vanilla', 'smooth peanut butter', 'baking soda', 'rolled oats', 'chocolate chips']",9,8,27
krispies m m cookie mix,44164,20,"[2869.7, 79.0, 1176.0, 48.0, 91.0, 142.0, 185.0]",7,"['place ingredients into the jar in the order listed', 'press down before filling jar with rice krispies', 'attach with a rirbon these instructions: place the contents of jar in a large bowl', 'add 1 beaten egg and 1 / 4 cup soft butter', 'mix well', 'drop by the spoonful on greased cookie sheet', 'bake at 350f for 10 to 12 minutes']",this recipe was found on the net. original poster is lort.,"['sugar', 'oatmeal', ""m&m's plain chocolate candy"", 'brown sugar', 'flour', 'baking powder', 'baking soda', 'rice krispies']",8,7,25
banana fruit salad,84714,10,"[116.4, 0.0, 80.0, 1.0, 5.0, 0.0, 9.0]",3,"['serve the fruit into 2-4 bowls', 'beat the egg white until foamy and then add the bananas , lemon juice , icing sugar until it forms stiff peaks and use this mixture to top the fruit', 'i just beat the bananas , sugar and lemon juice and top over the fruit']",another fruit salad with a different cream.,"['banana', 'lemon juice', 'icing sugar', 'fresh fruit', 'egg white']",5,3,19
zuppa di ceci,210024,105,"[261.5, 4.0, 9.0, 26.0, 22.0, 2.0, 15.0]",11,"['line a pan with olive oil and add the onion , celery , garlic and rosemary', 'cook on low until ingredients are color-less , about 20 minutes', 'drain and rinse chickpeas', 'add chickpeas and stock to the pan', 'cook for half an hour on med-low', 'remove half of the chickpeas from the pan and set aside', 'puree the remaining soup to desired consistency and return to pan', 'add back the reserved whole chickpeas and rice or pasta', 'season to taste with salt and pepper', 'simmer until chickpeas are soft and riso is cooked', 'serve with olive oil and grated cheese']","thick, creamy italian chickpea soup","['onion', 'celery', 'garlic clove', 'fresh rosemary', 'chickpeas', 'chicken stock', 'risotto rice']",7,7,12
spicy hot and sour soup with pork,249460,45,"[257.7, 21.0, 10.0, 77.0, 44.0, 16.0, 3.0]",18,"['heat the oil in a large pot over medium-high flame', 'add the smashed garlic , ginger paste , chili paste , shiitake and oyster mushrooms , and bamboo shoots', 'cook 1-2 minutes , stirring constantly', 'mix the soy sauce , vinegar , salt , pepper , and sugar in a small bowl , pour it into the pot', 'cook 2-3 minutes to let flavors blend', 'pour in the chicken broth , bring the soup to a boil , and simmer for 10 minutes', 'meanwhile , dust pork with cornstarch', 'you will probably need about 2-3 tbsp , depending on how much pork you have', 'season with a few shakes of white pepper and mix thoroughly', 'heat a pan with 1 tbsp oil and fry pork until mostly cooked through', 'it will finish cooking in the soup but you want the outside a little brown', 'add to soup', ""if you haven't already , dissolve the 3 tbsp cornstarch in the 1 / 4 cup water and stir until smooth"", 'pour into the soup and continue to simmer 5 more minutes , until soup thickens', 'if using tofu , add at this step', 'remove the soup from the heat and stir in 1 direction until the soup is spinning on its own', 'then , slowly pour in eggs in a steady stream using a fork to stir if necessary to break up pieces', 'add scallions and enjoy !']","hot and sour soup is one of my favorite foods. i grew up in the nyc metro area so it was always easy to get delicious soup anytime. unfortunately i'm currently living in a part of the country where that is not the  case! i'm taking it on myself to come up with recipes that are satisfying when i'm homesick. this is a combination of several recipes i tried, but mainly tyler florence's. the pork is easier to cut if you put it in the freezer for ten minutes first.","['shiitake mushrooms', 'oyster mushrooms', 'oil', 'chili paste', 'ginger paste', 'garlic cloves', 'bamboo shoot', 'soy sauce', 'rice vinegar', 'salt', 'white pepper', 'sugar', 'chicken broth', 'cornstarch', 'firm tofu', 'eggs', 'scallions', 'pork chop']",18,8,5
grilled roadside chicken with knob onions,513907,120,"[759.6, 82.0, 9.0, 36.0, 117.0, 76.0, 2.0]",16,"['in a small bowl , mix together all the marinade ingredients', 'heat one side of a bass grill to medium', 'if you have a grill with charcoal , let it burn until the charcoal is covered with white ash and about medium hot', 'while the grill is heating remove the giblets from the cavity of the chicken', 'flip the chicken onto its breast', 'using poultry shears , cut down both sides of the backbone from tail to neck', 'discard backbone', 'open the bird onto your work surface , breast side up', 'make sure that the legs returned inward', 'using your fist or mallet , wallop the bird on the breast , hard enough to dislodge the bones and flatten out the breast', '(reserve a little to baste with while cooking', 'smear both slides of the chicken with the marinade', 'lay over indirect heat on the grill', 'cook , basting from time to time with remaining marinade until the juices run clear when a thigh is pierced deeply with a fork', 'if cooking on a gas grill , it will take about 45 minutes , if only a charcoal grill more like 1 hour 15 minutes - 1 hour 30 minutes , depending on size of chicken', 'about 10 minutes before the chicken is ready , put the knob onions on the grill , turning frequently until softened and browned']","this is my favorite recipe form rick bayless' ""mexican everyday"" cookbook.  this mexican twist on a whole chicken is some of the best, juiciest, most flavorful chicken i've ever had!","['dried ancho chile powder', 'dried oregano', 'ground cloves', 'ground cinnamon', 'garlic cloves', 'vinegar', 'orange juice', 'lime, juice of', 'salt', 'whole chicken', 'green onion']",11,10,13
braised beef tips over rice,204092,375,"[81.2, 6.0, 19.0, 26.0, 3.0, 3.0, 2.0]",7,"['brown beef', 'in a slow cooker , add browned beef', 'stir in consume , cranberry juice , soy sauce , garlic , onion , & brown sugar', 'cook until beef', 'mix corn starch with water , add to slow cooker', 'cook until gravy becomes desired thickness', 'serve over rice']",this is my mothers recipe.  they are delicious.,"['olive oil', 'beef tips', 'beef consomme', 'cranberry juice', 'soy sauce', 'minced garlic clove', 'brown sugar', 'onion', 'cornstarch', 'water']",10,6,21
30 minute chili,446919,40,"[375.2, 27.0, 1.0, 23.0, 58.0, 34.0, 8.0]",6,"['heat a large nonstick skillet over medium heat', 'add the ground beef and cook for 8 to 10 minutes , breaking it into 3 / 4 inch or so crumbles and stirring occasionally', 'drain off the fat', 'stir in the beans , broth , tomatoes and chili powder , and bring to a boil', 'reduce heat , cover and simmer 20 minutes to develop flavors , stirring occasionally', 'serve with toppings , as desired']","this chili tastes remarkably good and can be made for dinner when you are pressed for time. the recipe comes from the beefitswhatfordinner.com website, but i originally saw the recipe in the newpaper. i have made this several times, used whatever beef i had on hand. i've also added more beans and tomatoes to the same quantity of beef, and it still tasted great.","['ground beef', 'black beans', 'reduced-sodium beef broth', 'tomatoes and green chilies', 'chili powder', 'shredded cheddar cheese', 'fresh cilantro', 'green onion']",8,9,24
grape nuts custard in nanny s memory,218091,80,"[265.2, 13.0, 109.0, 9.0, 22.0, 20.0, 12.0]",13,"['preheat oven to 350', 'combine the cereal , salt and milk while preparing the remainder', 'grease with butter a 2', '5 qt casserole dish', 'in a small bowl or 2 cup measuring cup combine the eggs , vanilla and sugar', 'mix until thoroughly combined and emulsified', 'pour the cereal and milk mixture into a mixing bowl and add the egg and sugar mixture', 'stir well though do not allow to get overly foamy', 'pour into the greased casserole and bake 60 minutes', 'this is done when a knife inserted halfway from the edge to the middle comes out clean', 'do not attempt to overbake , it will appear underdone in the middle', 'carry over cooking will handle that', 'overcooked and it makes a nice albeit sweet hockey puck !']","my nanny passed away when i was 10 years of age though one of my fondest memories is of her grapenut custard and how it was a staple in her home. if it was not just a visit but a family dinner at her house, it always came out with a dollop of whipped cream on top. i have been making this for years and cannot help but remember my nanny and smile with each bite. i like it best without the whipped cream and cold from the fridge just like it always was a nanny's house. this recipe gives a nice caramelized almost crisp top and a soft velvety interior. c.2007","['whole milk', 'grape-nuts cereal', 'sugar', 'eggs', 'pure vanilla extract', 'salt', 'butter']",7,9,3
italian pasta salad for 20,11095,140,"[243.3, 15.0, 16.0, 21.0, 17.0, 13.0, 10.0]",19,"['bring 6 quarts water to a boil', 'add salt , if desired', 'add dry pasta', 'cook al dente', 'drain and rinse with cold water', 'while the pasta is cooking , rinse broccoli heads', 'remove stems and chop florets into bite-sized pieces', 'rinse peppers and halve them', 'remove stem , seeds , and pith', 'slice lengthwise into 1 / 4"" strips , then chop crosswise into 1 / 4"" dice', 'quarter pepperoni slices by stacking 5-8 at a time', 'combine all ingredients in a large bowl', 'to keep the pepperoni slices from sticking together too much , ""roll"" them between your palms as you drop them into the mixing bowl', 'pour italian dressing over all', 'toss thoroughly', 'chill at least 2 hours', 'may be prepared the day before', 'toss again before serving', 'serves 20']","this simple, delicious recipe uses common ingredients and can be made ahead of time. it's inexpensive and perfect for entertaining, potlucks, barbecues, parties, family reunions, or any time you need a large quantity of salad.","['tri-color spiral pasta', 'broccoli', 'sweet red peppers', 'pepperoni', 'italian dressing']",5,4,27
whole wheat dutch baby,429180,25,"[224.3, 9.0, 36.0, 3.0, 19.0, 9.0, 10.0]",16,"['1', 'preheat oven to 425 degrees', '2', 'combine the first 3 ingredients in a bowl and mix', '3', 'in a separate bowl , whisk the eggs until beaten', '4', 'add the rice milk , vanilla and honey until incorporated', '5', 'whisk the dry mixture into the wet ingredients until combined', '6', 'coat a 9-inch pie baking dish with the oil , making sure it is coated evenly', '7', 'pour in the batter and bake for 25 minutes', '8', 'serve with fruit preserves']",from weelicious.com,"['all-purpose flour', 'whole wheat flour', 'salt', 'eggs', 'rice milk', 'vanilla extract', 'honey', 'vegetable oil', 'fruit preserves']",9,1,26
heavy on the garlic hummus,59552,30,"[382.2, 33.0, 2.0, 34.0, 21.0, 14.0, 13.0]",9,"['place all ingredients except oil and parsely in food processor', 'blend until smooth', 'slowly add 1 / 4 cup olive oil and continue processing until mixed well', 'if mixture is too stiff add water a little at a time until it reaches a smooth and creamy consistency', 'remove from processor and add parsley', 'chill for at least four hours', 'spread on plate in a thin layer', 'drizzle additional oil on top', 'sprinkle with paprika and served with pita bread']",i was going through some old recipe files and came across this recipe from a local mediterranean restaurant no longer in business. i had never made it so i decided to give it a try and i'm glad i did.,"['garbanzo beans', 'tahini paste', 'lemon juice', 'garlic', 'ground cumin', 'ground cayenne pepper', 'white pepper', 'salt', 'olive oil', 'water', 'parsley', 'oil', 'paprika']",13,7,30
quick   easy chicken tagine,169763,18,"[309.0, 12.0, 45.0, 25.0, 76.0, 7.0, 7.0]",10,"['in a large nonstick skillet , add the olive oil and smashed garlic', 'saut onions for 1-2 minutes and add the chicken', 'sprinkle on the spice mixture', 'cook for 2 minutes on each side', 'add the prunes , raisins , and chicken stock', 'stir to combine , reduce to moderate heat , and cook covered for 8 minutes', 'let simmer until near meal time', 'remove cover and cook 2-3 minutes to help remove some of the moisture', 'add more salt , pepper , or cayenne to taste', 'top with cilantro']","inspired by rachael ray's 30 minute replica of this wonderful traditional dish. i serve it with brown rice, but also wonderful with cous-cous or other grains.  grilled plantains also introduce a wonderful sweetness to the mix.","['extra virgin olive oil', 'garlic cloves', 'boneless skinless chicken breasts', 'sweet onion', 'prunes', 'raisins', 'chicken stock', 'ground cumin', 'sweet paprika', 'ground coriander', 'turmeric', 'coarse salt', 'fresh coarse ground black pepper', 'cinnamon', 'chili powder', 'cayenne pepper', 'cilantro leaf']",17,1,29
skillet beef   onion hamburger noodles,435275,15,"[493.3, 25.0, 9.0, 59.0, 65.0, 29.0, 17.0]",5,"['brown hamburger in skillet , once browned drain excess grease', 'add the 2 packets of the lipton beef & onion soup mix and the 2 1 / 2 cups of water to the hamburger in skillet', 'season with mrs dash and garlic powder , then add the egg noodles , bring to a boil , then simmer for 10 minutes for the noodles to cook and thicken the sauce', 'stir frequently to prevent sticking', 'season with salt & pepper to taste']",this is a recipe i made when i had a pound of hamburger and wanted some beef & noodle hamburger helper but didn't have any boxed.  so made it from scratch and i believe it came out better than the boxed any way. enjoy!,"['hamburger', 'lipton beef and onion soup mix', 'water', 'egg noodles', 'mrs. dash table blend seasoning', 'garlic powder', 'salt & pepper']",7,10,20
carrot spritz salad,118795,5,"[64.2, 3.0, 31.0, 0.0, 2.0, 0.0, 3.0]",2,"['in a bowl , combine the carrots , apple , lemon juice , honey , almonds , salt and pepper', 'toss and chill before serving']",tasty little snack/salad!,"['carrots', 'apple', 'lemon juice', 'honey', 'blanched slivered almond', 'salt and pepper']",6,8,29
hotel hershey s chocolate buttermilk pie,491461,60,"[2173.4, 127.0, 844.0, 84.0, 94.0, 114.0, 102.0]",7,"['in a double boiler , melt chocolate', 'add dry ingredients', 'add eggs , one at a time , until smooth', 'add buttermilk and vanilla to complete', 'pour over raw pie crust', 'bake in preheated 300 degree oven for 40-45 minutes , until custard-like', 'cool and top with cool whip to serve']","easy, super rich!","['pie crusts', 'bittersweet chocolate', 'granulated sugar', 'all-purpose flour', 'salt', 'eggs', 'buttermilk', 'vanilla']",8,5,22
chalupa dinner bowl,150034,450,"[654.4, 32.0, 12.0, 51.0, 145.0, 36.0, 13.0]",16,"['rinse and sort beans according to package directions', 'place pinto beans in a 6-quart slow cooker', 'add roast and next 6 ingredients', 'pour chicken broth evenly over top of roast', 'cover and cook on high 1 hour', 'reduce to low , and cook 9 hours', 'or , cover and cook on high 6 hours', 'remove bones and fat from roast', 'pull roast into large pieces with two forks', 'stir in diced tomatoes and green chiles', 'cook , uncovered , on high 1 more hour or until liquid is slightly thickened', 'heat taco salad shells according to package directions', 'place shredded lettuce evenly into shells', 'spoon about 1 cup pork-and-bean mixture into each shell using a slotted spoon', 'serve with desired toppings', 'times may vary depending on the slow cooker used']",from southern living.,"['dried pinto bean', 'pork loin roast', 'green chilies', 'garlic cloves', 'chili powder', 'salt', 'dried oregano', 'ground cumin', 'chicken broth', 'diced tomatoes with green chilies', 'taco salad shells', 'head iceberg lettuce', 'cheese', 'sour cream', 'jalapeno pepper', 'tomatoes', 'avocado']",17,5,13
brad s bar b q beef,128553,425,"[881.5, 90.0, 29.0, 71.0, 118.0, 114.0, 8.0]",8,"['in a crock pot , place one roast and pour the bottle of inexpensive barbecue', 'sauce over the roast', 'add water to cover and cook on medium 5-6 hours', 'remove roast from crock pot', ""drain sauce and 'shred' the beef by cutting it on the diagonal"", 'return roast to crock pot , add the bottle of your favorite barbecue sauce and meld together well', 'cook another 2 hours on medium', 'serve alone or make a sandwich with kaiser rolls']",i found this at http:\www.oldetimecooking.com a while back. i finally got around to trying this last week. it's a keeper. the my two teenagers even ate leftovers omg! i had mine over a large baked potato. they the kiddos and dw had it on buns.,"['pot roast', 'barbecue sauce']",2,3,12
tuscan minestrone,248545,135,"[484.7, 9.0, 83.0, 58.0, 41.0, 5.0, 30.0]",12,"['place oil in 6 quart saucepan', 'add beans , garlic , bay leaf , red pepper flakes , onion', 'saute 5 minutes', 'add water', 'bring to boil', 'simmer 1 hour', 'add leek , carrots , celery , potatoes , green beans , tomato sauce , herb blend , and pepper', 'cook 30 minutes', 'add zucchini , beans , tomatoes', 'cook 15 minutes', 'add orzo and spinach', 'cook 15 minutes']",here's a simple and tasty minestrone from the american heart association cookbook. you can substitute macaroni or other pasta for the orzo if you choose. we like to add some spicy mrs. dash at the end for a little more kick.,"['kidney beans', 'olive oil', 'garlic cloves', 'bay leaf', 'red pepper flakes', 'onion', 'water', 'leek', 'carrots', 'celery', 'potatoes', 'green beans', 'tomato sauce', 'mixed italian herbs', 'zucchini', 'cannellini beans', 'stewed tomatoes', 'orzo pasta', 'spinach']",19,2,19
